Payload_size,Data_Model,Nodes,Average_Delay
500,1,2,2755.13
500,1,3,1692.25
500,1,4,1777.91
500,1,5,2285.29
500,1,6,1983.52
500,1,7,2782.81
500,1,8,2755.43
500,1,9,2692.15
500,1,10,2995.01
500,1,11,3500.31
500,1,12,3860.41
500,1,13,4249.19
500,1,14,4299.7
500,1,15,4751.47
500,1,16,5282.06
500,1,17,5397.63
500,1,18,5504.28
500,1,19,6038.88
500,1,20,6443.06
500,1,21,6922.86
500,1,22,7181.94
500,1,23,7012.16
500,1,24,7607.63
500,1,25,7945.06
500,2,2,3924.58
500,2,3,1850.39
500,2,4,1681.85
500,2,5,1836.91
500,2,6,1881.65
500,2,7,2123.53
500,2,8,2260.87
500,2,9,2317.58
500,2,10,3083.88
500,2,11,2882.58
500,2,12,3196.17
500,2,13,3524.87
500,2,14,3839.07
500,2,15,3888.26
500,2,16,4311.48
500,2,17,4456.67
500,2,18,4527.7
500,2,19,4955.81
500,2,20,5155.82
500,2,21,5748.54
500,2,22,5517.07
500,2,23,6028.79
500,2,24,6368.93
500,2,25,6695.09
500,3,2,2789.63
500,3,3,2974.25
500,3,4,1788.74
500,3,5,2160.63
500,3,6,1797.33
500,3,7,1903.67
500,3,8,1939.91
500,3,9,2202.96
500,3,10,2445.21
500,3,11,2531.96
500,3,12,2635.81
500,3,13,3014.42
500,3,14,3141.96
500,3,15,3553.39
500,3,16,3605.55
500,3,17,4070.19
500,3,18,4108.24
500,3,19,4834.87
500,3,20,4602.99
500,3,21,5066
500,3,22,4976.51
500,3,23,5496.69
500,3,24,6190.73
500,3,25,46212.1
500,4,2,2480.68
500,4,3,2338.9
500,4,4,1173.31
500,4,5,1806.42
500,4,6,1794.78
500,4,7,1882.83
500,4,8,1684.6
500,4,9,2057.12
500,4,10,2073.17
500,4,11,2186.66
500,4,12,2665.44
500,4,13,2523
500,4,14,3029.31
500,4,15,3176.63
500,4,16,3144.52
500,4,17,3370.78
500,4,18,3784.1
500,4,19,4049.16
500,4,20,54146.7
500,4,21,99202.6
500,4,22,140691
500,4,23,177819
500,4,24,212529
500,4,25,244358
500,5,2,3202.33
500,5,3,1367.61
500,5,4,1692.56
500,5,5,1905.49
500,5,6,1500.68
500,5,7,1721.09
500,5,8,2046.47
500,5,9,2425.99
500,5,10,2103.42
500,5,11,2259.8
500,5,12,85820.7
500,5,13,79795.2
500,5,14,74674.6
500,5,15,135925
500,5,16,190828
500,5,17,238126
500,5,18,280695
500,5,19,318849
500,5,20,352761
500,5,21,384206
500,5,22,412388
500,5,23,437798
500,5,24,461804
500,5,25,483331
1000,1,2,2987.19
1000,1,3,3489.27
1000,1,4,3136.22
