Payload_size,Data_Model,Nodes,Average_Throughput
500,1,2,4.12233
500,1,3,2.06159
500,1,4,1.37449
500,1,5,1.03089
500,1,6,0.824737
500,1,7,0.687293
500,1,8,0.589054
500,1,9,0.523643
500,1,10,0.471258
500,1,11,0.42838
500,1,12,0.392679
500,1,13,0.362455
500,1,14,0.336573
500,1,15,0.314106
500,1,16,0.294451
500,1,17,0.277121
500,1,18,0.261745
500,1,19,0.247955
500,1,20,0.235544
500,1,21,0.224307
500,1,22,0.214104
500,1,23,0.204796
500,1,24,0.196237
500,1,25,0.188393
500,2,2,4.12287
500,2,3,2.06173
500,2,4,1.3746
500,2,5,1.03086
500,2,6,0.824797
500,2,7,0.687336
500,2,8,0.589098
500,2,9,0.52368
500,2,10,0.471237
500,2,11,0.428445
500,2,12,0.392722
500,2,13,0.362497
500,2,14,0.336565
500,2,15,0.314152
500,2,16,0.294495
500,2,17,0.277159
500,2,18,0.261746
500,2,19,0.247978
500,2,20,0.235563
500,2,21,0.224325
500,2,22,0.214163
500,2,23,0.204836
500,2,24,0.196287
500,2,25,0.188421
500,3,2,4.12342
500,3,3,2.06187
500,3,4,1.37467
500,3,5,1.03101
500,3,6,0.82484
500,3,7,0.687374
500,3,8,0.589175
500,3,9,0.523701
500,3,10,0.47132
500,3,11,0.428441
500,3,12,0.392715
500,3,13,0.362515
500,3,14,0.336618
500,3,15,0.314146
500,3,16,0.294538
500,3,17,0.277186
500,3,18,0.261774
500,3,19,0.24795
500,3,20,0.2356
500,3,21,0.22436
500,3,22,0.214146
500,3,23,0.204849
500,3,24,0.202371
500,3,25,0.175553
500,4,2,4.12383
500,4,3,2.06199
500,4,4,1.37471
500,4,5,1.03091
500,4,6,0.824863
500,4,7,0.687394
500,4,8,0.589179
500,4,9,0.52368
500,4,10,0.471324
500,4,11,0.428474
500,4,12,0.392773
500,4,13,0.362539
500,4,14,0.336644
500,4,15,0.314179
500,4,16,0.294552
500,4,17,0.277196
500,4,18,0.261806
500,4,19,0.247988
500,4,20,0.222361
500,4,21,0.20301
500,4,22,0.184991
500,4,23,0.169225
500,4,24,0.15542
500,4,25,0.143209
500,5,2,4.12388
500,5,3,2.06206
500,5,4,1.37476
500,5,5,1.03109
500,5,6,0.824759
500,5,7,0.687378
500,5,8,0.561577
500,5,9,0.509123
500,5,10,0.471304
500,5,11,0.413865
500,5,12,0.343648
500,5,13,0.318942
500,5,14,0.310005
500,5,15,0.259197
500,5,16,0.230103
500,5,17,0.199755
500,5,18,0.181785
500,5,19,0.161517
500,5,20,0.148483
500,5,21,0.134909
500,5,22,0.120468
500,5,23,0.107994
500,5,24,0.0998464
500,5,25,0.0932624
1000,1,2,8.02208
1000,1,3,4.01271
1000,1,4,2.67542
1000,1,5,2.00672
1000,1,6,1.60523
1000,1,7,1.33789
1000,1,8,1.14678
1000,1,9,1.01928
1000,1,10,0.917147
1000,1,11,0.833741
1000,1,12,0.764249
1000,1,13,0.705531
1000,1,14,0.655046
1000,1,15,0.611246
1000,1,16,0.57308
1000,1,17,0.539321
1000,1,18,0.509393
1000,1,19,0.482494
1000,1,20,0.45839
1000,1,21,0.436436
1000,1,22,0.416586
1000,1,23,0.398513
1000,1,24,0.381784
1000,1,25,0.366457
1000,2,2,8.02482
1000,2,3,4.01362
1000,2,4,2.67593
1000,2,5,2.00701
1000,2,6,1.60556
1000,2,7,1.33806
1000,2,8,1.14685
1000,2,9,1.01946
1000,2,10,0.917481
1000,2,11,0.834005
1000,2,12,0.764451
1000,2,13,0.705607
1000,2,14,0.655199
1000,2,15,0.611494
1000,2,16,0.573291
1000,2,17,0.539535
1000,2,18,0.509428
1000,2,19,0.482665
1000,2,20,0.458549
1000,2,21,0.436582
1000,2,22,0.416761
1000,2,23,0.398519
1000,2,24,0.382004
1000,2,25,0.366702
1000,3,2,8.02667
1000,3,3,4.01381
1000,3,4,2.67609
1000,3,5,2.00712
1000,3,6,1.60575
1000,3,7,1.33815
1000,3,8,1.14701
1000,3,9,1.01953
1000,3,10,0.917465
1000,3,11,0.834108
1000,3,12,0.764556
1000,3,13,0.705618
1000,3,14,0.655191
1000,3,15,0.611565
1000,3,16,0.573308
1000,3,17,0.539579
1000,3,18,0.509581
1000,3,19,0.482725
1000,3,20,0.458594
1000,3,21,0.436681
1000,3,22,0.416772
1000,3,23,0.398768
1000,3,24,0.366181
1000,3,25,0.337423
1000,4,2,8.02727
